gender,enquiry_type,enquiry_month,uuid,conversion,user_id,is_admin
F,Email,Feb-2020,00875a35-40ec-4339-9cda-1205bb9f6287,Converted,4,0
F,Email,May-2020,009cf786-79ca-4db6-84c6-14f5a25598ca,Converted,3,0
M,Web Enquiry,Jan-2020,00e32cfb-8e25-4bc8-9c32-ed121bafe19f,Converted,3,0
M,Walk-in,Feb-2020,01bb8b98-427d-4b93-8996-d2e78b85b1c7,Converted,2,0
M,College,Feb-2020,029ecf04-8c2a-41b8-bdb4-68a4a01df75e,Converted,2,0
M,Web Enquiry,May-2020,02b5a132-bae8-433a-829e-e156fd384fa9,Enquiry,1,1
F,College,Mar-2020,0377d14b-11da-4fd9-9131-35475e685684,Enquiry,2,0
F,Social Media,Jan-2020,05a883fa-b0f7-43e6-b251-8be37a1de1aa,Converted,6,0
M,Web Enquiry,Mar-2020,05f3d698-3c75-4bae-9a4b-32c3bffc1bfe,Converted,4,0
M,Social Media,May-2020,06047809-c015-464f-8e66-32bf28391433,Converted,4,0
F,Social Media,Jan-2020,0668091e-fadb-46f9-a9fd-6d4832b1732f,Converted,2,0
M,College,Jun-2020,074ae168-549f-4abb-b5d0-e128ae793c95,Converted,2,0
F,Web Enquiry,Feb-2020,082f11cd-6441-4f3f-96c7-1c4fddd68363,Converted,3,0
F,Phone,Feb-2020,086488a9-96eb-4bd6-9bf9-fee20b06146b,Converted,1,1
M,Email,Jan-2020,08ef508c-c559-419a-9d88-a6d115097967,Converted,3,0
M,Email,Jan-2020,099fbfd6-137d-4ec9-b152-3484c6c63830,Enquiry,5,0
F,Walk-in,Jun-2020,09f70842-b8b7-4dc2-b72d-3e9104adda8a,Enquiry,4,0
F,Web Enquiry,Apr-2020,0abb9a74-02ab-4d3f-a874-faf71e12d521,Converted,2,0
M,Social Media,Jun-2020,0af808f0-9f56-4f36-93b2-020a4463104a,Converted,4,0
M,College,Apr-2020,0c59f3fa-e1a6-4a52-9ba8-88574ff091b5,Converted,1,1
F,Web Enquiry,Apr-2020,0cf10043-1e2d-494e-9949-257f8fc7b6c7,Converted,5,0
M,Walk-in,Jun-2020,0d21c0d6-4f70-422b-86e9-1b55fdd63367,Converted,2,0
M,Web Enquiry,May-2020,0f3f7a79-2014-4d6f-b440-e0e89a13b752,Converted,5,0
F,College,May-2020,0f8a32db-504d-4309-888e-cab6402abc37,Converted,3,0
M,Social Media,Jun-2020,0fe6d26e-5556-4c06-b52a-2689f31f6cf6,Converted,3,0
M,Phone,Mar-2020,10c6c0ed-799a-477f-b4fb-71c6153ec815,Converted,5,0
M,Social Media,Feb-2020,11598cff-8521-4c34-a4ae-051e3e473635,Converted,5,0
F,Email,Jan-2020,11865684-a89f-4e90-afa0-1f393ee38f03,Converted,6,0
M,Social Media,Apr-2020,122b0c23-bc42-4bf3-ac56-5fc63649a056,Converted,3,0
M,Email,May-2020,125f7ae4-e4f7-41e0-8cbf-18bb3b7d0cf5,Converted,4,0
F,Email,May-2020,132b927c-944b-43ef-97a2-b4544152c811,Converted,5,0
M,Email,Mar-2020,133865b4-4665-4a2a-877f-5ba07fd3d736,Converted,3,0
F,Walk-in,Jun-2020,146a814a-ce43-4b7e-a5a0-78d256783e7d,Converted,3,0
M,Phone,Mar-2020,147f4319-5f46-447a-a9bd-f2873da9e41c,Converted,1,1
M,Email,Jan-2020,1496d060-8811-49bd-8836-abc6cebf3caa,Converted,1,1
M,College,Feb-2020,15908ffe-b2f8-4544-b223-c18dd026f9fe,Enquiry,2,0
F,Web Enquiry,Apr-2020,15d686c9-3a10-408e-8eca-4504e44f89d6,Enquiry,3,0
F,Walk-in,May-2020,15df8968-1e57-47d1-9a6c-f775f8ef157c,Converted,2,0
F,College,Jun-2020,16127b1e-6a74-41ce-986a-18ea444e59fc,Converted,6,0
F,Web Enquiry,Mar-2020,173bf3d0-a84e-4873-8efe-84ed47555c13,Enquiry,4,0
M,Social Media,Feb-2020,18b43b29-4b1f-4e08-bf69-a0c0f17f8d31,Enquiry,1,1
F,College,Feb-2020,19676270-ad22-4a70-99df-8d21515c6145,Converted,5,0
